"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"PS1";"Converter_ACDC_HiLink_HLK-PMxx";1;"HLK-PM01";;;
2;"J1,J2";"TerminalBlock_bornier-2_P5.08mm";2;"Conn_01x02";;;
3;"Q1,Q2";"TO-92_Inline";2;"2N2219";;;
4;"R4,R1,R5";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";3;"220";;;
5;"J6,J5";"PinSocket_1x18_P2.54mm_Vertical";2;"Conn_01x18";;;
6;"U1";"Aosong_DHT11_5.5x12.0_P2.54mm";1;"DHT11";;;
7;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
8;"J3";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
9;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"D";;;
10;"D2,D4";"LED_D5.0mm_IRGrey";2;"LED";;;
11;"D3,D5";"LED_D3.0mm_FlatTop";2;"LED";;;
12;"K1";"Relay_SPDT_Finder_36.11";1;"FINDER-36.11";;;
13;"R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"100";;;
14;"R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"10";;;
15;"SW1";"TerminalBlock_bornier-2_P5.08mm";1;"SW_Push";;;
16;"SW2";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_Push";;;
17;"J7";"PinSocket_1x02_P2.54mm_Vertical";1;"UART_0";;;
18;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"Fuse";;;
19;"RV1";"RV_Disc_D7mm_W3.4mm_P5mm";1;"Varistor";;;
